post_title,slug,sous_titre,cat_cours,prof_login,jour_de_cours,heure_debut,heure_de_fin,tarif_cours,info_complementaire,description_cours,pedagogie,echauffement_time,echauffement_description,exercice_time,exercice_description,choregraphie_time,choregraphie_description,styles_musiques,tenue,complete_cours,yoast_focus_kw,yoast_title,yoast_meta_desc,yoast_og_title,yoast_og_desc,notes
Latino,latino,,danse-solo,emilie,01day,12h30,13h30,,Prévoir une tenue et chaussures adaptées au cours,"Le Latino vous fait vibrer au rythme des danses d'Amérique latine. Salsa, merengue, cumbia, bachata : on explore ensemble les fondamentaux de ces danses colorées et festives dans une ambiance chaleureuse. C'est l'occasion idéale de développer ta coordination et ta connexion au corps tout en t'amusant. Venez seul ou en couple, tous les niveaux sont les bienvenus.","Sur le premier trimestre, on s'imprègne des fondamentaux avec les pas de base de la salsa et du merengue, en travaillant la coordination bras/jambes. Puis, au deuxième trimestre, on introduit la bachata et la cumbia avec les premières figures en solo ou en couple. On termine l'année sur une chorégraphie de groupe festive pour travailler ton style et ton expression.",10 min,"Mobilisation des hanches et du bassin en musique latine, travail des épaules et des bras, cardio léger sur rythme salsa",20/30 min,"Déhanchement latin, transfert de poids, isolation du bassin indépendant du buste, coordination rythmique",20/30 min,"Enchaînement de figures latines en cercle ou en ligne, en solo ou en alternance de partenaires - l'ambiance est festive et inclusive","Salsa (Marc Anthony, Celia Cruz, La India), bachata (Romeo Santos, Prince Royce), merengue, cumbia, reggaeton modern (Bad Bunny, J Balvin), musiques latines actuelles","Tenue légère et confortable : robe, jupe virevoltante ou pantalon fluide pour les femmes, pantalon léger pour les hommes. Chaussures : à talon de 3-5 cm pour les femmes (talon cubain idéal), chaussures à semelle lisse pour les hommes. Les baskets adhérentes gênent le déhanchement latin.",0,cours de latino Villeneuve d'Ascq,,"Cours de danses latines à Villeneuve d'Ascq. Salsa, bachata, merengue. Tous niveaux. Inscriptions ouvertes !",,"Cours de danses latines à Villeneuve d'Ascq. Salsa, bachata, merengue. Tous niveaux. Inscriptions ouvertes !",
Urban commercial,urban-commercial,,danse-solo,asmy,01day,17h,18h,,Prévoir une tenue et chaussures adaptées au cours,"Plonge dans l'univers de Broadway et des grands shows ! Entre technique des bras, isolations et attitude, on apprend les codes du style commercial qui mêle hip-hop et R&B. Ce cours développe une grande conscience corporelle et un sens affûté du style. Une ambiance dynamique pour travailler ta présence et ton énergie.","On commence par les fondamentaux du hip-hop commercial et le travail des isolations (tête, épaules, hanches). Au deuxième trimestre, on se concentre sur la qualité des bras et le storytelling chorégraphique. L'année se clôture sur une chorégraphie complète sur un titre tendance pour affirmer ton interprétation et ta présence.",10 min,"Mise en route dynamique inspiré des classes de danse américaines : groove, bouncing, circuit d'isolations en musique",20/30 min,"Technique des isolations en cascade, travail des bras (port de bras urbain), qualité du geste et expressivité",20/30 min,"Chorégraphie commerciale sur un titre actuel - travail de la synchronisation, de l'énergie collective et du placement caméra","Pop urbaine (Beyoncé, Rihanna, Dua Lipa, The Weeknd), R&B, afrobeats (Burna Boy, Wizkid), musiques de clips actuels, Drake, PNL","Tenue urban : jogging, cargo pants, crop top, bomber... l'attitude vestimentaire fait partie du cours ! Chaussures : sneakers propres à semelle non marquante ou chaussures de danse souples. Éviter les semelles trop crantées.",0,cours urban commercial Lille,,"Cours d'urban commercial à Villeneuve d'Ascq. Hip-hop, R&B, style clip. Adultes tous niveaux.",,"Cours d'urban commercial à Villeneuve d'Ascq. Hip-hop, R&B, style clip. Adultes tous niveaux.",
Danses indiennes,danses-indiennes-debutants,Débutants,danse-solo,perrine,01day,18h,19h,,Prévoir une tenue et chaussures adaptées au cours,"Découvre la richesse des traditions indiennes avec le Bharatanatyam, une danse millénaire et expressive. On t'initie aux mudras (positions des mains), aux séquences de pas (adavus) et au travail de l'expression. C'est une pratique complète qui apporte souplesse, coordination et une vraie conscience artistique. Aucun prérequis, juste ta curiosité !","Le premier trimestre est dédié à l'initiation aux mudras et aux séquences de pas élémentaires dans le respect du rythme indien. Au deuxième trimestre, on compose nos premières séquences en introduisant l'expression du visage. Enfin, on prépare une petite composition classique pour la fin d'année.",10 min,"Étirements des hanches et des jambes, travail de l'araimandi (demi-plié indien), mobilisation des poignets pour les mudras",20/30 min,"Apprentissage méthodique des mudras (Pataka, Tripataka, Kapittha...) et des adavus de base, travail du rythme",20/30 min,"Composition d'adavus en séquence sur des cycles rythmiques indiens (tala), travail de la précision et de l'expression","Musiques indiennes classiques et semi-classiques : carnatic (Inde du Sud), hindustani (Inde du Nord), playback indien (Bollywood instrumental), percussion tabla, dholak",Tenue traditionnelle recommandée : churidar ou legging serré + tunic (kurta) ou justaucorps. Pieds nus obligatoires pour les danses indiennes classiques. Des clochettes de danse (ghungroo) peuvent être portées aux chevilles.,0,cours de danses indiennes Lille,,"Découvrez le Bharatanatyam à Villeneuve d'Ascq. Mudras, adavus, expression. Débutants bienvenus.",,"Découvrez le Bharatanatyam à Villeneuve d'Ascq. Mudras, adavus, expression. Débutants bienvenus.",
Danses indiennes,danses-indiennes-intermediaires,Intermédiaires,danse-solo,perrine,01day,19h,20h,,Prévoir une tenue et chaussures adaptées au cours,"Ce cours s'adresse à celles et ceux qui souhaitent approfondir leur pratique des danses indiennes. On enrichit ton répertoire de mudras et on aborde des items chorégraphiques plus complexes. On travaille aussi l'abhinaya, l'art d'exprimer les émotions à travers le corps et le visage, pour une pratique artistique plus exigeante et passionnante.","On approfondit d'abord les séquences techniques et les hastas complexes avant de s'initier au kathak. Au deuxième trimestre, on se lance dans un item chorégraphique complet pour travailler les nuances de l'émotion. L'année se termine par une composition avancée mettant l'accent sur la présence scénique.",10 min,"Travail de l'araimandi profond, étirements des hanches et des ischio-jambiers, mobilisation des poignets et des doigts",20/30 min,"Adavus composites, exercices de jati (composition rythmique parlée et dansée), techniques de chakkar (rotations kathak)",20/30 min,"Item chorégraphique complet (tillana ou composition mixte), avec travail de l'expression, du rythme et de la présence","Musiques classiques indiennes : ragas carnatic, compositions de maîtres comme Tyagaraja ou Muthuswami Dikshitar, percussions tabla et mridangam, compositions contemporaines de fusion indo-classique","Tenue classique bharatanatyam : sari de danse ou salwar kameez ajusté. Pieds nus, ghungroo aux chevilles. Maquillage de danse conseillé pour les présentations.",0,cours danses indiennes intermediaires,,Approfondissez les danses indiennes à Villeneuve d'Ascq. Technique avancée et items chorégraphiques.,,Approfondissez les danses indiennes à Villeneuve d'Ascq. Technique avancée et items chorégraphiques.,
Danse de salon,danse-de-salon-debutants,Débutants,a-deux,cecile,01day,20h,21h,,Prévoir une tenue et chaussures adaptées au cours,"Valse, pasodoble, tango, cha-cha-cha... Découvre l'élégance des danses standards et latines. Dans ce cours pour débutants, on apprend les bases de plusieurs styles pour que tu puisses te sentir à l'aise dans n'importe quel bal ou événement social. Une pratique riche, variée et très gratifiante.","Le premier trimestre est dédié à la découverte des rythmes de base (valse, tango). Au milieu d'année, on introduit les danses plus vives comme le cha-cha-cha ou le quickstep. On clôture l'année avec l'apprentissage de petites chorégraphies pour chaque style abordé.",10 min,"Mise en condition posturale : placement du dos, des épaules, travail au centre sur différents rythmes (lent/rapide)",20/30 min,"Apprentissage des pas fondamentaux des 6 danses principales, travail de la tenue de bras (cadre) et du guidage",20/30 min,"Pratique libre encadrée : on alterne les musiques (valse, tango, cha-cha) pour apprendre à reconnaître les styles","Standards (Valses de Vienne, Tangos argentins classiques), Latines (Cha-cha-cha de Cuba, Pasodobles d'Espagne, Samba de Rio)",Tenue de ville élégante ou tenue de danse souple. Chaussures : semelle cuir ou daim indispensable. Talons modérés et stables pour les femmes (chaussures de danse de salon idéales). Pas de baskets.,0,cours danse de salon Lille,,"Découvrez l'élégance des danses de salon à Villeneuve d'Ascq. Valse, Tango, Cha-cha. Débutants.",,"Découvrez l'élégance des danses de salon à Villeneuve d'Ascq. Valse, Tango, Cha-cha. Débutants.",
Danse de salon,danse-de-salon-intermediaires,Intermédiaires,a-deux,cecile,01day,21h,22h,,Prévoir une tenue et chaussures adaptées au cours,"Pour les danseurs qui connaissent déjà les pas de base et veulent affiner leur technique et leur élégance. On complexifie les enchaînements, on travaille sur la précision des pieds et la fluidité des déplacements. C'est l'occasion de vraiment ''habiter'' chaque style avec assurance sur la piste.","On consolide d'abord les fondamentaux avant d'introduire des figures de compétition simplifiées. Au deuxième trimestre, l'accent est mis sur l'expression et le style spécifique à chaque danse. L'année se finit sur la création de routines fluides et élégantes à présenter.",10 min,"Mobilisation articulaire spécifique : travail des chevilles pour la valse, des hanches pour le cha-cha, du cadre pour le tango",20/30 min,"Figures complexes (tours, pivots, syncopes), technique de déplacement spatial (ligne de danse), communication subtile à deux",20/30 min,Routines chorégraphiées sur musiques orchestrales : enchaînement de 32 à 64 mesures avec changements de direction,"Grands orchestres de bal, musiques classiques révisées, standards internationaux de compétition de danse sportive",Chaussures de danse de salon professionnelles obligatoires (semelle daim). Tenue permettant de bien voir la ligne du corps (ajustée). L'élégance vestimentaire est encouragée.,0,cours danse de salon intermediaire Lille,,Perfectionnez vos danses de salon à Villeneuve d'Ascq. Technique et élégance au rendez-vous.,,Perfectionnez vos danses de salon à Villeneuve d'Ascq. Technique et élégance au rendez-vous.,
Dance workout,dance-workout-mardi,,danse-solo,,02day,12h30,13h30,,Prévoir une tenue de sport adaptée,"Un cours dynamique pour se dépenser en rythme ! Le Dance Workout combine cardio, renforcement musculaire et mouvements de danse ludiques pour une remise en forme joyeuse et motivante. Idéal pour évacuer le stress et gagner en endurance sur des musiques entraînantes.","Le cours propose une série de blocs chorégraphiés répétitifs et accessibles, axés sur la dépense énergétique et la bonne humeur. Chaque séance est construite pour faire monter le rythme cardiaque tout en tonifiant l'ensemble du corps.",10 min,Mise en route cardio et articulaire pour préparer le corps à l'effort continu.,20/30 min,"Séquences de renforcement en mouvement, ciblant cuisses, fessiers et sangle abdominale de manière rythmée.",20/30 min,"Enchaînements chorégraphiés de type fitness, faciles à suivre, axés sur l'amplitude et l'énergie.","Hits pop-dance actuels, remixes dynamiques, reggaeton, électro motivante.","Tenue de sport confortable (legging, brassière, t-shirt respirant). Baskets de fitness avec un bon amorti en salle.",0,dance workout villeneuve d'ascq,,"Découvrez le Dance Workout à Villeneuve d'Ascq. Cardio, renforcement et fun en musique !",,"Découvrez le Dance Workout à Villeneuve d'Ascq. Cardio, renforcement et fun en musique !",
Street jazz,street-jazz-mardi,,danse-solo,isis,02day,17h,18h,,Prévoir une tenue et chaussures adaptées,"Mélange explosif entre la technique jazz et l'énergie du hip-hop, le street jazz est la danse des clips par excellence. On travaille l'attitude, les isolations et la puissance sur des sons urbains actuels. C'est le cours parfait pour se défouler en apprenant des chorégraphies stylées et percutantes.","Le cours s'articule autour du 'groove' fondamental et des isolations urbaines. L'objectif est de développer son identité scénique, en travaillant la musicalité des bras, la puissance des appuis et la maîtrise des arrêts (stop-and-go).",10 min,"Mise en mouvement urbaine : cardio, bouncing, isolations du buste et de la tête sur un tempo soutenu",20/30 min,"Technique street : on apprend les stop-and-go, les slides urbains et on travaille la force des arrêts de mouvement",20/30 min,Enchaînement Clip Style : chorégraphie percutante avec un focus sur l'énergie et l'attitude,"Pop urbaine (Rihanna, Dua Lipa), Hip-hop, R&B, Afrobeats rythmés, titres tendance","Tenue urban chic ou sportswear confortable (jogging, t-shirt ample). Baskets propres à semelle lisse.",0,cours street jazz lille,,Apprenez le street jazz à Villeneuve d'Ascq. Energie urbaine et technique.,,Apprenez le street jazz à Villeneuve d'Ascq. Energie urbaine et technique.,
K-Pop,k-pop-debutants,Débutants,danse-solo,perle,02day,18h,19h,,Prévoir une tenue et chaussures adaptées,"Plonge dans la culture K-Pop avec une énergie débordante ! Conçu pour les débutants, ce cours t'invite à apprendre les chorégraphies officielles de tes groupes préférés (BTS, Blackpink, Stray Kids) de manière accessible. C'est un espace ludique et motivant pour explorer le style iconique des idols.","Dès le premier trimestre, on s'imprègne de la culture idol en décortiquant un cover à un rythme adapté. On travaille la mémorisation et la synchronisation de groupe. L'année se clôture sur un projet participatif valorisant l'attitude de chacun.",10 min,"Groove collectif : cardio léger en dansant, travail des mouvements signatures pour chauffer le corps",20/30 min,"Travail du count (comptage) et de la précision, apprentissage des mouvements de base isolés",20/30 min,Cover officiel ou chorégraphie K-Pop inspirée - apprentissage pas à pas de la chorégraphie,"K-Pop hits (TWICE, BLACKPINK, aespa, LE SSERAFIM, NewJeans, BTS)","Streetwear confortable, colorée. Sneakers propres obligatoires en salle.",0,cours k-pop debutant lille,,Débutez la K-Pop à Villeneuve d'Ascq avec les chorégraphies de vos groupes favoris.,,Débutez la K-Pop à Villeneuve d'Ascq avec les chorégraphies de vos groupes favoris.,
K-Pop,k-pop-intermediaires,Intermédiaires,danse-solo,perle,02day,19h,20h,,Prévoir une tenue et chaussures adaptées,"Un cours de K-Pop plus exigeant pour celles et ceux qui ont déjà acquis des bases chorégraphiques ! On s'attaque aux covers les plus techniques et rapides, en mettant l'accent sur la précision absolue des formations (formations sync), le lip-sync et l'énergie débordante des boy bands et girl groups.","Le travail est centré sur la rapidité d'assimilation et la dynamique scénique (power control, sharp movements). L'année est ponctuée de projets covers intenses (vidéos de performance) visant un rendu professionnel de groupe.",10 min,Mise en rythme intense avec focus sur le cardio et l'élasticité articulaire,20/30 min,"Exercices de synchronisation millimétrée, technique de déplacements rapides, attitude scénique",20/30 min,Apprentissage accéléré de refrains et dance breaks complexes de K-Pop,"K-Pop performance (Stray Kids, ATEEZ, ITZY, NMIXX, NCT, SEVENTEEN)",Streetwear stylé et confortable. Sneakers propres.,0,cours k-pop intermediaire,,Cours de K-Pop niveau intermédiaire à Villeneuve d'Ascq. Précision et performance.,,Cours de K-Pop niveau intermédiaire à Villeneuve d'Ascq. Précision et performance.,
